movie_tv_goal_4-21###6617	4	"DA: <knowledge> ( tv ) available_options "" 1 "" , decade "" 2010er "" , director "" Nobuhiro Doi "" , douban_score "" 9.1 "" , episode_length "" 45 Minuten "" , episodes "" 10 Folgen "" , name_list "" Matsu Takako/Mitsushima Hikari/Takahashi Issey "" , premiere_time "" 17.01.2017 in Japan "" , production_country_or_area "" Japan "" , star "" Matsu Takako "" , title "" Quartett "" , type "" spannend "" <endofknowledge> <state> ( tv ) decade equal_to "" 2010er "" , production_country_or_area equal_to "" japanische Fernsehsendung "" , type equal_to "" spannend "" <endofstate> <history> AGENT_ACTS_PREV: ( tv ) request type AGENT_ACTS: ( tv ) recommend title equal_to "" Quartett "" USER: Wann war die Premiere? <endofhistory>"	"( tv ) inform premiere_time equal_to "" 17. Januar 2017 """	premiere_time	17. Januar 2017
attraction_restaurant_goal_2-18###5165	1	DST: <state> null <endofstate> <history> USER: Hallo, meine Freunde kommen mich besuchen. Gibt es landschaftlich reizvolle Gegenden in der Nähe des Bezirks Gusu, die nicht so teuer sind? <endofhistory>	"( attraction ) area equal_to "" Bezirk Gusu "" , consumption equal_to "" nicht so teuer """	area	Bezirk Gusu
attraction_restaurant_goal_2-18###5165	2	"DST: <state> ( attraction ) area equal_to "" Bezirk Gusu "" , consumption equal_to "" nicht so teuer "" <endofstate> <history> AGENT_ACTS: ( attraction ) recommend name equal_to "" Garten des bescheidenen Verwalters "" USER: Gut, wo ist es? <endofhistory>"	"( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Humble Administrator's Garden """	name	Der Humble Administrator's Garden
attraction_restaurant_goal_2-18###5165	2	"DA: <knowledge> ( attraction ) address "" No. 178, Dongbei Street, Gusu District, Suzhou City "" , area "" Bezirk Gusu "" , available_options "" 1 "" , consumption "" mäßig "" , features "" ein UNESCO-Weltkulturerbe und einer der vier berühmten Gärten Chinas. "" , metro_station "" FALSCH "" , name "" Garten des bescheidenen Verwalters "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-962015 "" , score "" 4.5 "" , the_most_suitable_people "" familienfreundlich "" , ticket_price "" 90 Yuan "" , type "" Garten im Suzhou-Stil "" <endofknowledge> <state> ( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Humble Administrator's Garden "" <endofstate> <history> AGENT_ACTS: ( attraction ) recommend name equal_to "" Garten des bescheidenen Verwalters "" USER: Gut, wo ist es? <endofhistory>"	"( attraction ) inform address equal_to "" No. 178, Dongbei Street, Gusu District, Suzhou City. """	address	No. 178, Dongbei Street, Gusu District, Suzhou City.
attraction_restaurant_goal_2-18###5165	4	"DA: <knowledge> ( attraction ) address "" No. 178, Dongbei Street, Gusu District, Suzhou City "" , area "" Bezirk Gusu "" , available_options "" 1 "" , consumption "" mäßig "" , features "" ein UNESCO-Weltkulturerbe und einer der vier berühmten Gärten Chinas. "" , metro_station "" FALSCH "" , name "" Garten des bescheidenen Verwalters "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-962015 "" , score "" 4.5 "" , the_most_suitable_people "" familienfreundlich "" , ticket_price "" 90 Yuan "" , type "" Garten im Suzhou-Stil "" , ( restaurant ) address "" B3-19, 3F, South Section, Suzhou Center, Nr. 68, Suxiu Road "" , area "" Industriepark Suzhou "" , available_options "" 14 "" , business_hours "" 11:30-22:00, Montag bis Sonntag "" , cuisine "" Brot und Desserts "" , dishes "" Pilzcremesuppe "" , metro_station "" Stimmt "" , name "" L’Arôme "" , per_capita_consumption "" 412 Yuan "" , phone_number "" 0512-69881018 "" , pricerange "" etwas teurer "" , score "" 4.5 "" <endofknowledge> <state> ( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Humble Administrator's Garden "" , ( restaurant ) pricerange equal_to "" etwas teurer "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform address equal_to "" No. 178, Dongbei Street, Gusu District, Suzhou City. "" AGENT_ACTS: ( attraction ) inform score equal_to "" 4.5 "" USER: Ok, wir verbringen vielleicht den ganzen Tag zusammen, kannst du mir ein paar etwas teurere Restaurants hier in der Nähe empfehlen? <endofhistory>"	"( restaurant ) inform cuisine equal_to "" Jiangsu-Zhejiang-Küche "" , recommend name equal_to "" Banyuan Private Home Cuisine """	cuisine	Jiangsu-Zhejiang-Küche
attraction_restaurant_goal_2-18###5165	4	"DA: <knowledge> ( attraction ) address "" No. 178, Dongbei Street, Gusu District, Suzhou City "" , area "" Bezirk Gusu "" , available_options "" 1 "" , consumption "" mäßig "" , features "" ein UNESCO-Weltkulturerbe und einer der vier berühmten Gärten Chinas. "" , metro_station "" FALSCH "" , name "" Garten des bescheidenen Verwalters "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-962015 "" , score "" 4.5 "" , the_most_suitable_people "" familienfreundlich "" , ticket_price "" 90 Yuan "" , type "" Garten im Suzhou-Stil "" , ( restaurant ) address "" B3-19, 3F, South Section, Suzhou Center, Nr. 68, Suxiu Road "" , area "" Industriepark Suzhou "" , available_options "" 14 "" , business_hours "" 11:30-22:00, Montag bis Sonntag "" , cuisine "" Brot und Desserts "" , dishes "" Pilzcremesuppe "" , metro_station "" Stimmt "" , name "" L’Arôme "" , per_capita_consumption "" 412 Yuan "" , phone_number "" 0512-69881018 "" , pricerange "" etwas teurer "" , score "" 4.5 "" <endofknowledge> <state> ( attraction ) consumption equal_to "" nicht so teuer "" , name equal_to "" Der Humble Administrator's Garden "" , ( restaurant ) pricerange equal_to "" etwas teurer "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform address equal_to "" No. 178, Dongbei Street, Gusu District, Suzhou City. "" AGENT_ACTS: ( attraction ) inform score equal_to "" 4.5 "" USER: Ok, wir verbringen vielleicht den ganzen Tag zusammen, kannst du mir ein paar etwas teurere Restaurants hier in der Nähe empfehlen? <endofhistory>"	"( restaurant ) inform cuisine equal_to "" Jiangsu-Zhejiang-Küche "" , recommend name equal_to "" Banyuan Private Home Cuisine """	name	Banyuan Private Home Cuisine
Car_goal_5-38_v2###8539	2	"DA: <knowledge> ( car ) 4wd "" Zweirad "" , available_options "" 3 "" , brand "" SAIC-Volkswagen "" , classification "" SUV "" , cruise_control_system "" Stimmt "" , heated_seats "" FALSCH "" , hybrid "" Gas "" , name "" Volkswagen T-Cross mit 1,5-l-Benzinmotor "" , number_of_seats "" 5 "" , parking_assist_system "" FALSCH "" , power_level "" normal "" , price "" 127.900 "" , pricerange "" <150.000 "" , series "" Volkswagen T-Cross "" , size "" kleine Größe "" , ventilated_seats "" FALSCH "" <endofknowledge> <state> ( car ) classification equal_to "" SUV "" , hybrid equal_to "" gasbetriebenen "" , pricerange equal_to "" im Bereich von 150.000 Yuan "" <endofstate> <history> AGENT_ACTS: ( car ) recommend name equal_to "" Volkswagen T-Cross mit 1,5-l-Benzinmotor "" USER: Hat es einen Tempomat? <endofhistory>"	"( car ) inform cruise_control_system equal_to "" Sicher, das hat es """	cruise_control_system	Sicher, das hat es
Car_goal_5-38_v2###8539	3	"DA: <knowledge> ( car ) 4wd "" Zweirad "" , available_options "" 3 "" , brand "" SAIC-Volkswagen "" , classification "" SUV "" , cruise_control_system "" Stimmt "" , heated_seats "" FALSCH "" , hybrid "" Gas "" , name "" Volkswagen T-Cross mit 1,5-l-Benzinmotor "" , number_of_seats "" 5 "" , parking_assist_system "" FALSCH "" , power_level "" normal "" , price "" 127.900 "" , pricerange "" <150.000 "" , series "" Volkswagen T-Cross "" , size "" kleine Größe "" , ventilated_seats "" FALSCH "" <endofknowledge> <state> ( car ) classification equal_to "" SUV "" , hybrid equal_to "" gasbetriebenen "" , pricerange equal_to "" im Bereich von 150.000 Yuan "" <endofstate> <history> AGENT_ACTS_PREV: ( car ) recommend name equal_to "" Volkswagen T-Cross mit 1,5-l-Benzinmotor "" AGENT_ACTS: ( car ) inform cruise_control_system equal_to "" Sicher, das hat es "" USER: Wie sieht es mit der Rückfahrkamera aus? <endofhistory>"	"( car ) inform parking_assist_system equal_to "" verfügt leider nicht über """	parking_assist_system	verfügt leider nicht über
restaurant_hotel_goal_2-63_v2###7740	1	DST: <state> null <endofstate> <history> USER: Hi, wie geht's? Mein Freund wird nach Suzhou kommen, um mich zu besuchen, und ich möchte ein etwas teureres Restaurant finden, wo ich ihn mitnehmen könnte. Es wäre schön, wenn es in der Nähe des Industrieparks Suzhou wäre. Haben Sie Empfehlungen? <endofhistory>	"( restaurant ) area equal_to "" Industriepark Suzhou "" , pricerange equal_to "" etwas teurer """	area	Industriepark Suzhou
restaurant_hotel_goal_2-63_v2###7740	3	"DA: <knowledge> ( restaurant ) address "" Es befindet sich auf 4F des Saige Digital Plaza, Nr. 318, Suya Road. "" , area "" Industriepark Suzhou "" , available_options "" 1 "" , business_hours "" 09:00-07:00, Montag bis Sonntag "" , cuisine "" Eintopf "" , dishes "" Es wird empfohlen, den Tomatentopf zu geben "" , metro_station "" FALSCH "" , name "" Haidilao Hot Pot "" , per_capita_consumption "" 127 Yuan "" , phone_number "" 0512-67603337 "" , pricerange "" etwas teurer "" , score "" 4.8 "" <endofknowledge> <state> ( restaurant ) area equal_to "" Industriepark Suzhou "" , name equal_to "" Haidilao Hot Pot "" , pricerange equal_to "" etwas teurer "" <endofstate> <history> AGENT_ACTS_PREV: ( restaurant ) recommend name equal_to "" Haidilao Hot Pot "" AGENT_ACTS: ( restaurant ) inform phone_number equal_to "" 0512-67603337 "" USER: Ich habs. Können Sie mir helfen, die Öffnungszeiten zu überprüfen? <endofhistory>"	"( restaurant ) inform business_hours equal_to "" von Montag bis Sonntag von 09:00 bis 07:00 Uhr """	business_hours	von Montag bis Sonntag von 09:00 bis 07:00 Uhr
restaurant_hotel_goal_2-63_v2###7740	4	"DST: <state> ( restaurant ) area equal_to "" Industriepark Suzhou "" , name equal_to "" Haidilao Hot Pot "" , pricerange equal_to "" etwas teurer "" <endofstate> <history> AGENT_ACTS_PREV: ( restaurant ) inform phone_number equal_to "" 0512-67603337 "" AGENT_ACTS: ( restaurant ) inform business_hours equal_to "" von Montag bis Sonntag von 09:00 bis 07:00 Uhr "" USER: Wow, es ist die ganze Nacht geöffnet, dann können wir etwas länger bleiben. Könnten Sie ein nicht so teures Hotel mit Standardzimmern finden? <endofhistory>"	"( hotel ) pricerange equal_to "" nicht so teuer "" , room_type equal_to "" Standardzimmer "" ( restaurant ) area equal_to "" Industriepark Suzhou "" , name equal_to "" Haidilao Hot Pot "" , pricerange equal_to "" etwas teurer """	pricerange	nicht so teuer
