movie_tv_goal_4-21###6617	4	"DA: <knowledge> ( tv ) available_options "" 1 "" , decade "" 2010s "" , director "" Nobuhiro Doi "" , douban_score "" 9.1 "" , episode_length "" 45 minutes "" , episodes "" 10 episodes "" , name_list "" Matsu Takako/Mitsushima Hikari/Takahashi Issey "" , premiere_time "" 2017-01-17 in Japan "" , production_country_or_area "" Japan "" , star "" Matsu Takako "" , title "" Quartet "" , type "" suspenseful "" <endofknowledge> <state> ( tv ) decade equal_to "" 2010s "" , production_country_or_area equal_to "" Japanese TV show "" , type equal_to "" suspenseful "" <endofstate> <history> AGENT_ACTS_PREV: ( tv ) request type AGENT_ACTS: ( tv ) recommend title equal_to "" Quartet "" USER: When did it premiere? <endofhistory>"	"( tv ) inform premiere_time equal_to "" January 17, 2017 """	premiere_time	January 17, 2017
attraction_restaurant_goal_2-18###5165	2	"DST: <state> ( attraction ) area equal_to "" Gusu District "" , consumption equal_to "" not that expensive "" <endofstate> <history> AGENT_ACTS: ( attraction ) recommend name equal_to "" Humble Administrator's Garden "" USER: Good, where is it? <endofhistory>"	"( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" The Humble Administrator's Garden """	name	The Humble Administrator's Garden
attraction_restaurant_goal_2-18###5165	2	"DA: <knowledge> ( attraction ) address "" No. 178, Dongbei Street, Gusu District, Suzhou City "" , area "" Gusu District "" , available_options "" 1 "" , consumption "" moderate "" , features "" a UNESCO World Heritage Site and one of China's Four Famous Gardens. "" , metro_station "" false "" , name "" Humble Administrator's Garden "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-962015 "" , score "" 4.5 "" , the_most_suitable_people "" family-friendly "" , ticket_price "" 90 yuan "" , type "" Suzhou-style garden "" <endofknowledge> <state> ( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" The Humble Administrator's Garden "" <endofstate> <history> AGENT_ACTS: ( attraction ) recommend name equal_to "" Humble Administrator's Garden "" USER: Good, where is it? <endofhistory>"	"( attraction ) inform address equal_to "" No. 178, Dongbei Street, Gusu District, Suzhou City. """	address	No. 178, Dongbei Street, Gusu District, Suzhou City.
attraction_restaurant_goal_2-18###5165	4	"DA: <knowledge> ( attraction ) address "" No. 178, Dongbei Street, Gusu District, Suzhou City "" , area "" Gusu District "" , available_options "" 1 "" , consumption "" moderate "" , features "" a UNESCO World Heritage Site and one of China's Four Famous Gardens. "" , metro_station "" false "" , name "" Humble Administrator's Garden "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-962015 "" , score "" 4.5 "" , the_most_suitable_people "" family-friendly "" , ticket_price "" 90 yuan "" , type "" Suzhou-style garden "" , ( restaurant ) address "" B3-19, 3F, South Section, Suzhou Center, No. 68, Suxiu Road "" , area "" Suzhou Industrial Park "" , available_options "" 14 "" , business_hours "" 11:30-22:00, Monday to Sunday "" , cuisine "" bread and desserts "" , dishes "" Cream of Mushroom Soup "" , metro_station "" true "" , name "" L'Arôme "" , per_capita_consumption "" 412 yuan "" , phone_number "" 0512-69881018 "" , pricerange "" slightly expensive "" , score "" 4.5 "" <endofknowledge> <state> ( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" The Humble Administrator's Garden "" , ( restaurant ) pricerange equal_to "" a bit more expensive "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform address equal_to "" No. 178, Dongbei Street, Gusu District, Suzhou City. "" AGENT_ACTS: ( attraction ) inform score equal_to "" 4.5 "" USER: Ok, we may spend the whole day together, can you recommend some a bit more expensive restaurants near here? <endofhistory>"	"( restaurant ) inform cuisine equal_to "" Jiangsu Zhejiang Cuisine "" , recommend name equal_to "" Banyuan Private Home Cuisine """	cuisine	Jiangsu Zhejiang Cuisine
attraction_restaurant_goal_2-18###5165	4	"DA: <knowledge> ( attraction ) address "" No. 178, Dongbei Street, Gusu District, Suzhou City "" , area "" Gusu District "" , available_options "" 1 "" , consumption "" moderate "" , features "" a UNESCO World Heritage Site and one of China's Four Famous Gardens. "" , metro_station "" false "" , name "" Humble Administrator's Garden "" , opening_hours "" 07:30-17:30 "" , phone_number "" 0512-962015 "" , score "" 4.5 "" , the_most_suitable_people "" family-friendly "" , ticket_price "" 90 yuan "" , type "" Suzhou-style garden "" , ( restaurant ) address "" B3-19, 3F, South Section, Suzhou Center, No. 68, Suxiu Road "" , area "" Suzhou Industrial Park "" , available_options "" 14 "" , business_hours "" 11:30-22:00, Monday to Sunday "" , cuisine "" bread and desserts "" , dishes "" Cream of Mushroom Soup "" , metro_station "" true "" , name "" L'Arôme "" , per_capita_consumption "" 412 yuan "" , phone_number "" 0512-69881018 "" , pricerange "" slightly expensive "" , score "" 4.5 "" <endofknowledge> <state> ( attraction ) consumption equal_to "" not that expensive "" , name equal_to "" The Humble Administrator's Garden "" , ( restaurant ) pricerange equal_to "" a bit more expensive "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) inform address equal_to "" No. 178, Dongbei Street, Gusu District, Suzhou City. "" AGENT_ACTS: ( attraction ) inform score equal_to "" 4.5 "" USER: Ok, we may spend the whole day together, can you recommend some a bit more expensive restaurants near here? <endofhistory>"	"( restaurant ) inform cuisine equal_to "" Jiangsu Zhejiang Cuisine "" , recommend name equal_to "" Banyuan Private Home Cuisine """	name	Banyuan Private Home Cuisine
Car_goal_5-38_v2###8539	2	"DA: <knowledge> ( car ) 4wd "" two-wheel "" , available_options "" 3 "" , brand "" SAIC Volkswagen "" , classification "" SUV "" , cruise_control_system "" true "" , heated_seats "" false "" , hybrid "" gas "" , name "" Volkswagen T-Cross with a 1.5 L petrol engine "" , number_of_seats "" 5 "" , parking_assist_system "" false "" , power_level "" normal "" , price "" 127,900 "" , pricerange "" <150,000 "" , series "" Volkswagen T-Cross "" , size "" small-size "" , ventilated_seats "" false "" <endofknowledge> <state> ( car ) classification equal_to "" SUV "" , hybrid equal_to "" gas-powered "" , pricerange equal_to "" within 150,000 yuan "" <endofstate> <history> AGENT_ACTS: ( car ) recommend name equal_to "" Volkswagen T-Cross with a 1.5 L petrol engine "" USER: Does it have cruise control? <endofhistory>"	"( car ) inform cruise_control_system equal_to "" Sure, it has """	cruise_control_system	Sure, it has
Car_goal_5-38_v2###8539	3	"DA: <knowledge> ( car ) 4wd "" two-wheel "" , available_options "" 3 "" , brand "" SAIC Volkswagen "" , classification "" SUV "" , cruise_control_system "" true "" , heated_seats "" false "" , hybrid "" gas "" , name "" Volkswagen T-Cross with a 1.5 L petrol engine "" , number_of_seats "" 5 "" , parking_assist_system "" false "" , power_level "" normal "" , price "" 127,900 "" , pricerange "" <150,000 "" , series "" Volkswagen T-Cross "" , size "" small-size "" , ventilated_seats "" false "" <endofknowledge> <state> ( car ) classification equal_to "" SUV "" , hybrid equal_to "" gas-powered "" , pricerange equal_to "" within 150,000 yuan "" <endofstate> <history> AGENT_ACTS_PREV: ( car ) recommend name equal_to "" Volkswagen T-Cross with a 1.5 L petrol engine "" AGENT_ACTS: ( car ) inform cruise_control_system equal_to "" Sure, it has "" USER: How about the reverse camera? <endofhistory>"	"( car ) inform parking_assist_system equal_to "" does not have """	parking_assist_system	does not have
restaurant_hotel_goal_2-63_v2###7740	3	"DA: <knowledge> ( restaurant ) address "" It is on 4F of Saige Digital Plaza, No. 318, Suya Road. "" , area "" Suzhou Industrial Park "" , available_options "" 1 "" , business_hours "" 09:00-07:00, Monday to Sunday "" , cuisine "" Hotpot "" , dishes "" It's recommended you give the tomato pot "" , metro_station "" false "" , name "" Haidilao Hot Pot "" , per_capita_consumption "" 127 yuan "" , phone_number "" 0512-67603337 "" , pricerange "" slightly expensive "" , score "" 4.8 "" <endofknowledge> <state> ( restaurant ) area equal_to "" Suzhou Industrial Park "" , name equal_to "" Haidilao Hot Pot "" , pricerange equal_to "" a bit more expensive "" <endofstate> <history> AGENT_ACTS_PREV: ( restaurant ) recommend name equal_to "" Haidilao Hot Pot "" AGENT_ACTS: ( restaurant ) inform phone_number equal_to "" 0512-67603337 "" USER: Got it. Can you help me check the opening hours? <endofhistory>"	"( restaurant ) inform business_hours equal_to "" from Monday to Sunday, 09:00-07:00 """	business_hours	from Monday to Sunday, 09:00-07:00
attraction_restaurant_hotel_goal_3-46###6201	6	"DST: <state> ( attraction ) type equal_to "" landscape scenic spots "" , ( hotel ) area equal_to "" Suzhou New District "" , name equal_to "" New City Grand Rezen Hotel "" , pricerange equal_to "" a bit more expensive "" <endofstate> <history> AGENT_ACTS_PREV: ( hotel ) recommend phone_number equal_to "" 0512-68182888 "" AGENT_ACTS: ( attraction ) request name USER: How about the ticket of this scenic area? How much is it? <endofhistory>"	"( attraction ) name equal_to "" Tianping Mountain Scenic Area "" , type equal_to "" landscape scenic spots "" ( hotel ) area equal_to "" Suzhou New District "" , name equal_to "" New City Grand Rezen Hotel "" , pricerange equal_to "" a bit more expensive """	name	Tianping Mountain Scenic Area
attraction_restaurant_hotel_goal_3-46###6201	7	"DA: <knowledge> ( attraction ) address "" Lingtian Road, Wuzhong District, Suzhou City "" , area "" Wuzhong District "" , available_options "" 1 "" , consumption "" moderate "" , features "" It's the burial place of the ancestors of Fan Zhongyan and it's great fun climbing on the rocky roads in the area. Besides, in mid-to-late November, you can view the beautiful enjoy red maple trees there. "" , metro_station "" false "" , name "" Tianping Mountain Scenic Area "" , opening_hours "" 07:30-17:00 "" , phone_number "" 0512-66387422 "" , score "" 4.5 "" , the_most_suitable_people "" friends "" , ticket_price "" 30 yuan "" , type "" landscape scenic spot "" , ( hotel ) address "" No. 1, Shishan Road, Suzhou New District, Suzhou "" , area "" Suzhou New District "" , available_options "" 2 "" , hotel_type "" resort "" , name "" Suzhou New City Grand Rezen Hotel "" , parking "" free "" , phone_number "" 0512-68182888 "" , pricerange "" slightly expensive "" , room_charge "" 919 yuan "" , room_type "" king-size room "" , score "" 4.8 "" , star "" 5 "" <endofknowledge> <state> ( attraction ) name equal_to "" Tianping Mountain Scenic Area "" , type equal_to "" landscape scenic spots "" , ( hotel ) area equal_to "" Suzhou New District "" , name equal_to "" New City Grand Rezen Hotel "" , pricerange equal_to "" a bit more expensive "" <endofstate> <history> AGENT_ACTS_PREV: ( attraction ) request name AGENT_ACTS: ( attraction ) inform ticket_price equal_to "" 30 yuan "" USER: Ok, can you tell me its phone number? <endofhistory>"	"( attraction ) inform phone_number equal_to "" 0512-66387422. """	phone_number	0512-66387422.
Hospital_goal_4-49###4239	4	"DA: <knowledge> ( hospital ) 3．0t_mri "" true "" , address "" No. 118, Wansheng Street "" , area "" Suzhou Industrial Park "" , available_options "" 1 "" , bus_routes "" No. 2, No. 47, No. 106, No. 206, No. 215, No. 258, No. 6, No. 108, No. 110, No. 116, or No. 166 "" , ct "" true "" , dsa "" true "" , general_or_specialized "" general hospital "" , key_departments "" cardiovascular | oncology | neurosurgery | stomatology | pediatric "" , level "" tertiary "" , metro_station "" N/A "" , name "" Suzhou Kowloon Hospital "" , phone "" 62629999 "" , public_or_private "" private "" , registration_time "" 7:30-11:30, 12:30-16:30 "" , service_time "" 8:00-12:00, 13:00-17:00 "" <endofknowledge> <state> ( hospital ) general_or_specialized equal_to "" general hospital "" , key_departments equal_to "" pediatric clinic "" , name equal_to "" Suzhou Kowloon Hospital "" <endofstate> <history> AGENT_ACTS_PREV: ( hospital ) inform phone equal_to "" 62629999 "" AGENT_ACTS: ( hospital ) inform address equal_to "" No. 118, Wansheng Street "" USER: By the way, does it have a CT scan? <endofhistory>"	"( hospital ) inform CT equal_to "" Yes """	CT	Yes
