	source	target	source_entity	target_entity	source_span	target_span	dialogue_id	turn_id	utterance_type	source_word_span	target_word_span
0	Hi, can you recommend some fascinating Japanese TV shows?	Hallo, kannst du mir faszinierende japanische Fernsehsendungen empfehlen?	['Japanese TV shows?']	['japanische Fernsehsendungen']	[[39, 57]]	[[35, 62]]	movie_tv_goal_4-21###6617	0	user	[[6, 9]]	[[5, 7]]
1	Alright, a Japanese TV show from what period?	Okay, eine japanische Fernsehsendung aus welcher Zeit?	['Japanese TV show']	['japanische Fernsehsendung']	[[11, 27]]	[[11, 36]]	movie_tv_goal_4-21###6617	0	system	[[2, 5]]	[[2, 4]]
2	A Japanese TV show from the 2010s.	Eine japanische Fernsehsendung aus den 2010er Jahren.	['Japanese TV show', '2010s.']	['japanische Fernsehsendung', '2010er Jahren.']	[[2, 18], [28, 34]]	[[5, 30], [39, 53]]	movie_tv_goal_4-21###6617	1	user	[[1, 4], [6, 7]]	[[1, 3], [5, 7]]
3	What kind of Japanese TV shows do you normally like to watch?	Welche japanischen Fernsehsendungen sehen Sie sich normalerweise gerne an?	['Japanese TV shows']	['japanischen Fernsehsendungen']	[[13, 30]]	[[7, 35]]	movie_tv_goal_4-21###6617	1	system	[[3, 6]]	[[1, 3]]
4	I prefer suspenseful TV shows, do you have anything for me?	Ich bevorzuge spannende Fernsehsendungen, kannst du mir etwas empfehlen?	['suspenseful']	['spannende']	[[9, 20]]	[[14, 23]]	movie_tv_goal_4-21###6617	2	user	[[2, 3]]	[[2, 3]]
5	Ok, maybe Quartet is a good choice.	Ok, vielleicht ist Quartet eine gute Wahl.	['Quartet']	['Quartet']	[[10, 17]]	[[19, 26]]	movie_tv_goal_4-21###6617	2	system	[[2, 3]]	[[3, 4]]
6	When did it premiere?	Wann war die Premiere?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	3	user	[]	[]
7	It premiered on January 17, 2017.	Die Premiere war am 17. Januar 2017.	['January 17, 2017.']	['17. Januar 2017.']	[[16, 33]]	[[20, 36]]	movie_tv_goal_4-21###6617	3	system	[[3, 6]]	[[4, 7]]
8	How about its Douban rating?	Wie sieht es mit der Douban-Bewertung aus?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	4	user	[]	[]
9	Its Douban rating is 9.1.	Die Douban-Bewertung beträgt 9,1.	['9.1.']	['9,1.']	[[21, 25]]	[[29, 33]]	movie_tv_goal_4-21###6617	4	system	[[4, 5]]	[[3, 4]]
10	Who directed it?	Wer hat Regie geführt?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	5	user	[]	[]
11	It is directed by Nobuhiro Doi.	Regie führt Nobuhiro Doi.	['Nobuhiro Doi']	['Nobuhiro Doi']	[[18, 30]]	[[12, 24]]	movie_tv_goal_4-21###6617	5	system	[[4, 6]]	[[2, 4]]
12	Thanks, could you recommend an Indian movie?	Danke, kannst du einen indischen Film empfehlen?	['Indian']	['indischen']	[[31, 37]]	[[23, 32]]	movie_tv_goal_4-21###6617	6	user	[[5, 6]]	[[4, 5]]
13	Ok, what kind of Indian movies do you normally like to watch?	Ok, was für indische Filme siehst du dir normalerweise gerne an?	['Indian']	['indische']	[[17, 23]]	[[12, 20]]	movie_tv_goal_4-21###6617	6	system	[[4, 5]]	[[3, 4]]
14	I love Indian movies starring Shatrughan Sinha.	Ich liebe indische Filme mit Shatrughan Sinha.	['Shatrughan Sinha.']	['Shatrughan Sinha.']	[[30, 47]]	[[29, 46]]	movie_tv_goal_4-21###6617	7	user	[[5, 7]]	[[5, 7]]
15	Well, then I recommend Khoon Bhari Maang.	Dann kann ich Khoon Bhari Maang empfehlen.	['Khoon Bhari Maang.']	['Khoon Bhari Maang']	[[23, 41]]	[[14, 31]]	movie_tv_goal_4-21###6617	7	system	[[4, 7]]	[[3, 6]]
16	How about its Douban rating?	Wie sieht es mit der Douban-Bewertung aus?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	8	user	[]	[]
17	Its Douban rating is 8.0.	Die Douban-Bewertung beträgt 8,0.	['8.0.']	['8,0.']	[[21, 25]]	[[29, 33]]	movie_tv_goal_4-21###6617	8	system	[[4, 5]]	[[3, 4]]
18	How about its runtime?	Wie lange dauert der Film?	[]	[]	[]	[]	movie_tv_goal_4-21###6617	9	user	[]	[]
19	It is 172 minutes.	Er dauer 172 Minuten.	['172 minutes.']	['172 Minuten.']	[[6, 18]]	[[9, 21]]	movie_tv_goal_4-21###6617	9	system	[[2, 4]]	[[2, 4]]
20	Ok, thank you for your patience, bye,	Ok, danke für deine Geduld, tschüss,	[]	[]	[]	[]	movie_tv_goal_4-21###6617	10	user	[]	[]
21	You are welcome. Hope you enjoy my recommendations.	Gern geschehen. Ich hoffe, Ihnen gefallen meine Empfehlungen.	[]	[]	[]	[]	movie_tv_goal_4-21###6617	10	system	[]	[]
22	Hi, my friends are coming to visit me. Are there any scenic areas near Gusu District that are not that expensive?	Hallo, meine Freunde kommen mich besuchen. Gibt es landschaftlich reizvolle Gegenden in der Nähe des Bezirks Gusu, die nicht so teuer sind?	['friends', 'not that expensive?', 'Gusu District']	['Freunde', 'nicht so teuer', 'Bezirks Gusu,']	[[7, 14], [94, 113], [71, 84]]	[[13, 20], [119, 133], [101, 114]]	attraction_restaurant_goal_2-18###5165	0	user	[[2, 3], [18, 21], [14, 16]]	[[2, 3], [18, 21], [15, 17]]
23	Alright, if you want to hang out with your friends, Humble Administrator's Garden is a nice place. It is a traditional Suzhou-style garden and also near to your home.	Alles klar, wenn Sie mit Ihren Freunden abhängen möchten, ist der Humble Administrator's Garden ein schöner Ort. Es ist ein traditioneller Garten im Suzhou-Stil und auch in der Nähe Ihres Hauses.	"[""Humble Administrator's Garden"", 'Suzhou-style garden', 'friends,']"	"[""Humble Administrator's Garden"", 'Garten im Suzhou-Stil', 'Freunden']"	[[52, 81], [119, 138], [43, 51]]	[[66, 95], [139, 160], [31, 39]]	attraction_restaurant_goal_2-18###5165	0	system	[[10, 13], [21, 23], [9, 10]]	[[11, 14], [21, 24], [6, 7]]
24	Good, where is it?	Gut, wo ist es?	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	1	user	[]	[]
25	The Humble Administrator's Garden is at No. 178, Dongbei Street, Gusu District, Suzhou City.	Der Humble Administrator's Garden befindet sich in der Dongbei Straße Nr. 178, Bezirk Gusu, Stadt Suzhou.	"[""The Humble Administrator's Garden"", 'No. 178, Dongbei Street, Gusu District, Suzhou City']"	"[""Der Humble Administrator's Garden"", 'Dongbei Straße Nr. 178, Bezirk Gusu, Stadt Suzhou']"	[[0, 33], [40, 91]]	[[0, 33], [55, 104]]	attraction_restaurant_goal_2-18###5165	1	system	[[0, 4], [6, 14]]	[[0, 4], [8, 16]]
26	How about its rating online?	Wie sieht es mit der Online-Bewertung aus?	[]	[]	[]	[]	attraction_restaurant_goal_2-18###5165	2	user	[]	[]
27	Let me have a look. This scenic area has a rating of 4.5, for your reference.	Lassen Sie mich einen Blick darauf werfen. Dieses landschaftlich reizvolle Gebiet hat eine Bewertung von 4,5, als Referenz.	['4.5,']	['4,5,']	[[53, 57]]	[[105, 109]]	attraction_restaurant_goal_2-18###5165	2	system	[[12, 13]]	[[15, 16]]
28	Ok, we may spend the whole day together, can you recommend some a bit more expensive restaurants near here?	Ok, wir verbringen vielleicht den ganzen Tag zusammen, kannst du mir ein paar etwas teurere Restaurants hier in der Nähe empfehlen?	['a bit more expensive']	['ein paar etwas teurere']	[[64, 84]]	[[69, 91]]	attraction_restaurant_goal_2-18###5165	3	user	[[12, 16]]	[[11, 15]]
29	Well, Banyuan Private Home Cuisine is a good choice. It is a bit more expensive and serves Jiangsu Zhejiang Cuisine with local features.	Nun, Banyuan Private Home Cuisine ist eine gute Wahl. Es ist etwas teurer und serviert Jiangsu-Zhejiang-Küche mit lokalen Besonderheiten.	['Banyuan Private Home Cuisine', 'a bit more expensive', 'Jiangsu Zhejiang Cuisine']	['Banyuan Private Home Cuisine', 'etwas teurer', 'Jiangsu-Zhejiang-Küche']	[[6, 34], [59, 79], [91, 115]]	[[5, 33], [61, 73], [87, 109]]	attraction_restaurant_goal_2-18###5165	3	system	[[1, 5], [11, 15], [17, 20]]	[[1, 5], [11, 13], [15, 16]]
